,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_rad
239,-1.223476444512256,-0.6946962919099801,-0.6947055848498979,0.2632472991983725,0.26324729933025204,5.386976653669432,-1.398766935050628,-1.8635767892251907,0.06073310840395928,0.5704832412218461,-1.6467817998565706,0.12356915730935289,0.27368938624502437,-0.5072667144966322,-0.6172307836696115,-0.2321596407172745,-0.9570102549278706,-0.23034130262627361,-0.5275791168586721,-0.06501227086643775,-0.23526857617468583
240,-1.2230585967469068,-0.6942135547156008,-0.6942129960013703,-1.4094880797632845,-1.4094880797689249,-0.21735551665023226,-0.9922056600001824,-1.5870030198473086,0.33496469493396985,0.6353543832095571,-1.6538347150867936,0.5185785797795344,0.7433230641870198,-0.5362514369454513,-0.5443051519644908,-0.23125906176675096,-0.8873141170124136,-0.8196117864946603,-0.4356682922980053,0.12302597786047914,0.016955715632946868
243,-1.2218050534508595,-0.6932283767678878,-0.6932278183043151,-1.2704643902480428,-1.2704643902536514,-0.21735551665023226,-1.392435222339316,-1.6461466583830704,0.6545784366898658,1.1030872117858999,1.1040357051840752,0.13112654549188701,-0.2972422977830102,-0.5164149590643853,-0.5765732511682325,-0.2331819264874371,-1.015807213920552,-0.6914451602564589,-0.5309238090616936,-0.0996818229754633,-0.12671580745639757
244,-1.2213872056855104,-0.6927357877940313,-0.6927352294557876,1.0582269962919213,1.0582269962868438,-0.21735551665023226,-0.8568000519602894,-1.6001914711374012,-0.12672363162882427,0.12403333769526759,-1.5566491286312867,1.632909021148482,5.048493204990894,-0.5283212806526592,-0.599129131236068,-0.2337241328308601,-1.1758691443291776,-0.3432936919392009,-0.39532264858603083,0.1201335839651309,-0.1355512311345733
246,-1.2205515101548123,-0.6917506098463184,-0.6917500517587324,1.4811820271049136,1.4811820270999325,-0.21735551665023226,1.0060386700353452,-1.8898423420912032,0.13432189532452124,0.2923601393706084,-1.2087225526120304,0.14855245827332564,0.5786841386751659,-0.5222864877967055,-0.6045338492668971,-0.23215458290062443,-0.9565602253252313,-0.5615617524196855,-0.5927535727331606,-0.3024105598841706,-0.19590162681418122
247,-1.2201336623894632,-0.6912580208724619,-0.6912574629102048,1.4925181641682963,1.4925181641633178,-0.21735551665023226,-0.29937422923656176,-1.735907852087335,-1.0653531750545158,-0.9858048481099436,-1.3047235730605002,-0.16012790394186044,-1.1541232733364495,-0.5254845821618065,-0.7207644052809575,-0.21303283859904393,-0.37504180789205077,-0.33240100869309064,-0.7630099311776405,-1.2892196193489696,-0.3397248589224958
248,-1.219715814624114,-0.6907654318986055,-0.6907648740616772,-0.6450066855720288,-0.6450066855774947,-0.21735551665023226,-0.8583051340766021,-1.7012899298242905,0.2811630083502017,0.9640649826617587,-1.6712884542655853,-0.10271963969538293,2.8312471644140826,-0.548653145372945,-0.7200661116396738,-0.23077378270033252,-0.8561905650748644,0.33418384647649246,-0.6104101134929507,-0.9438299194304313,-0.2993791637917499
249,-1.2192979668587651,-0.690272842924749,-0.6902722852131497,0.08569985803383916,0.08569985802853981,-0.21735551665023226,0.13885096617336706,-1.0213269054708254,-0.20072097811099615,0.16597986942152346,-1.2979229299248685,0.5317322301678981,2.1736134573288814,-0.4915989274931148,0.15055977443661905,-0.21713209578082893,-0.44408852802982657,-0.7872297335836687,0.2450071483717498,0.4103066356377133,0.6769892953010739
250,-1.218880119093416,-0.6897802539508926,-0.6897796963646221,0.40584174650969257,0.40584174650446625,-0.21735551665023226,-1.0116470661109067,-1.5521902732535133,0.05089563503813629,0.30297702576956703,-1.6545169320573303,0.05566632287455369,0.01570485852852676,-0.5375377057852644,-0.6445305993046077,-0.2299892262926169,-0.8121888668108153,-0.3519959986629953,-0.5253869557242022,-0.17603318688562158,-0.1684101033020526
251,-1.2184622713280668,-0.6892876649770361,-0.6892871075160945,0.40721326194048074,0.4072132619352547,-0.21735551665023226,-1.0036312010141644,-1.5222044173043832,-0.013216172247434951,0.26204303043135996,1.0163711244615776,-0.1480714640691436,0.16583082674848248,-0.5442057734271355,-0.6335186343428811,0.15072214864419803,1.280734569417976,-0.5095847095387893,-0.13587379242971118,0.6584126582635064,0.027390419488528887
